Passport,Destination,PI,HPI
Afghanistan,Angola,visa on arrival,visa required
Afghanistan,Azerbaijan,covid ban,visa required
Afghanistan,Bolivia,visa on arrival,visa required
Afghanistan,Djibouti,e-visa,visa on arrival
Afghanistan,Guyana,visa on arrival,visa required
Afghanistan,Nigeria,visa on arrival,visa required
Afghanistan,Sierra Leone,visa on arrival,visa required
Afghanistan,Sri Lanka,visa required,e-visa
Afghanistan,Saint Vincent and the Grenadines,visa required,visa free
Afghanistan,Suriname,90,visa required
Albania,Angola,visa on arrival,visa required
Albania,China,visa required,visa free
Albania,Djibouti,e-visa,visa on arrival
Albania,Ecuador,e-visa,visa free
Albania,Iran,e-visa,visa on arrival
Albania,Jordan,visa on arrival,visa required
Albania,Nigeria,visa on arrival,visa required
Albania,Oman,e-visa,visa free
Albania,Sierra Leone,visa on arrival,visa required
Algeria,Angola,visa on arrival,visa required
Algeria,Azerbaijan,covid ban,visa required
Algeria,Djibouti,e-visa,visa on arrival
Algeria,Ethiopia,e-visa,visa on arrival
Algeria,Guyana,visa on arrival,visa required
Algeria,Iran,e-visa,visa on arrival
Algeria,Oman,e-visa,visa free
Algeria,Palestine,visa free,visa required
Algeria,Sierra Leone,visa on arrival,visa required
Andorra,Angola,visa on arrival,visa required
Andorra,Azerbaijan,covid ban,visa required
Andorra,Djibouti,e-visa,visa on arrival
Andorra,Guyana,visa on arrival,visa required
Andorra,Iran,e-visa,visa on arrival
Andorra,Nigeria,visa on arrival,visa required
Andorra,Sierra Leone,visa on arrival,visa required
Angola,Azerbaijan,covid ban,visa required
Angola,Bolivia,visa on arrival,visa required
Angola,Djibouti,e-visa,visa on arrival
Angola,Ethiopia,e-visa,visa on arrival
Angola,Guyana,visa on arrival,visa required
Angola,Iran,e-visa,visa on arrival
Angola,Sierra Leone,visa on arrival,visa required
Angola,Suriname,90,visa required
Antigua and Barbuda,Angola,visa on arrival,visa required
Antigua and Barbuda,Azerbaijan,covid ban,visa required
Antigua and Barbuda,Djibouti,e-visa,visa on arrival
Antigua and Barbuda,Iran,e-visa,visa on arrival
Antigua and Barbuda,Nigeria,visa on arrival,visa required
Antigua and Barbuda,Palestine,visa free,visa required
Antigua and Barbuda,Turkey,visa on arrival,visa required
Argentina,Angola,visa on arrival,visa required
Argentina,Djibouti,e-visa,visa on arrival
Argentina,Gabon,e-visa,visa on arrival
Argentina,Iran,e-visa,visa on arrival
Argentina,Nigeria,visa on arrival,visa required
Argentina,Sierra Leone,visa on arrival,visa required
Armenia,Angola,visa on arrival,visa required
Armenia,Azerbaijan,covid ban,visa required
Armenia,Djibouti,e-visa,visa on arrival
Armenia,Egypt,visa on arrival,visa required
Armenia,Guyana,visa on arrival,visa required
Armenia,Montenegro,visa required,visa free
Armenia,Nigeria,visa on arrival,visa required
Armenia,Oman,e-visa,visa free
Armenia,Palestine,visa free,visa required
Armenia,Qatar,visa on arrival,visa required
Armenia,Sierra Leone,visa on arrival,visa required
Armenia,Turkey,visa on arrival,visa required
Australia,Angola,visa on arrival,visa required
Australia,Djibouti,e-visa,visa on arrival
Australia,Gabon,e-visa,visa on arrival
Australia,Iran,e-visa,visa on arrival
Australia,Myanmar,e-visa,visa on arrival
Australia,Nigeria,visa on arrival,visa required
Australia,South Korea,e-visa,visa free
Australia,Turkey,visa on arrival,visa required
Austria,Angola,visa on arrival,visa required
Austria,Djibouti,e-visa,visa on arrival
